corpus_id,slug,sku,model,region,languages,skeleton_cell,document_key,document_record_id,structurally_reconstructable,pipeline_buildable,delivery_validated,live_spec_rows,live_placeholder_rows,live_success_build_rows,evidence,blocker
C15,E1000-HTE153-Jackery-Explorer-1000-User-Manual-V2-0-2026-07-28,HTE153,JE-1000F,US,en|fr|es,MAIN@INTL,JE-1000F_US,recvfw0zG4PzxS,yes,yes,yes,19,31,6,reconstruction:overlay=T1; ci_check_targets:PASS; style_component_contract_v2_plan.md + idml_three_target_font_portability_discovery_2026-08-29.md,
C18,E3600-HTE139-3600-Plus,HTE139,needs_review,CN,zh,MAIN@CN,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE139/CN; no complete four-renderer + native package evidence
C19,E3600-HTE139-Jackery-3600-Plus,HTE139,JE-3600A,JP,ja,MAIN@JP,JE-3600A_JP,recvp853V2Bghb,yes,no,no,0,0,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C20,E3600-HTE139-Jackery-Explorer-3600-Plus-EU-UK,HTE139,needs_review,EU,en|fr|es|de|it,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE139/EU; no complete four-renderer + native package evidence
C21,E3600-HTE139-Jackery-HomePower-3600-Plus-Portable-Power-Station-User-Manual-3600C,HTE139,JHP-3600C,US,en|fr|es,MAIN@INTL,JHP-3600C_US,recvp85nWmW9RD,yes,no,no,0,0,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C22,E3600-HTE157-Jackery-HomePower3600-Pro-Max-Portable-Power-Station-User-Manual-1,HTE157,needs_review,US,en|fr|es,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:overlay=T2,live Document_key missing for HTE157/US; no complete four-renderer + native package evidence
C23,E100-HTE162-100D-V2-0-2026-07-31,HTE162,needs_review,CN,zh,MAIN@CN,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE162/CN; no complete four-renderer + native package evidence
C24,E100-HTE162-Jackery-Explorer-100D-User-Manual-JE-100C-EUUK-V2-0-2026-08-03,HTE162,needs_review,EU,en|fr|es|de|it,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE162/EU; no complete four-renderer + native package evidence
C25,E100-HTE162-Jackery-Explorer-100D-User-Manual-JE-100C-USCA-V1-0-2026-08-18,HTE162,needs_review,US,en|fr|es,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE162/US; no complete four-renderer + native package evidence
C26,E1000-HTE151-Jackery-SlimPower-H1-V2-0-2026-07-29,HTE151,JE-1000E,JP,ja,MAIN@JP,JE-1000E_JP,recvp853V2htkA,yes,no,no,0,0,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C27,E1000-HTE151-Jackery-FridgeGuard-User-Manual-V2-0-2026-07-29,HTE151,needs_review,US,en|fr|es,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:overlay=T3,live Document_key missing for HTE151/US; no complete four-renderer + native package evidence
C28,E300-HTE147-16-0102-000448-HTE147300A-EU-UK-JAK-RoHS-REACH,HTE147,JE-300E,EU,en|fr|es|de|it,MAIN@INTL,JE-300E_EU,recvrlefIttSLe,yes,no,no,17,26,1,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C29,E3000-HTE156-3000-Pro-3-V2-0-2026-05-26,HTE156,needs_review,CN,zh,MAIN@CN,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE156/CN; no complete four-renderer + native package evidence
C30,E3000-HTE156-Jackery-3000-New,HTE156,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE156/JP; no complete four-renderer + native package evidence
C31,E3000-HTE156-Jackery-Explorer-3000-User-Manual-JE-3000C-EUUK-V2-0-2026-07-31,HTE156,needs_review,EU,en|fr|es|de|it|uk,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE156/EU; no complete four-renderer + native package evidence
C32,E3000-HTE156-Jackery-HomePower-3000-User-Manual,HTE156,needs_review,US,en|fr|es,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE156/US; no complete four-renderer + native package evidence
C33,E1000-HTE158-Jackery-1000-New-V2-0-2026-07-24,HTE158,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE158/JP; no complete four-renderer + native package evidence
C34,E1000-HTE158-Jackery-HomePower-1000-User-Manual-1,HTE158,JHP-1000A,US,en|fr|es,MAIN@INTL,JHP-1000A_US,recvp853V2o0s1,yes,no,no,0,0,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C35,E1000-HTE159-Jackery-1000-Plus,HTE159,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE159/JP; no complete four-renderer + native package evidence
C36,E1000-HTE159-Jackery-Explorer-1000-Plus-User-Manual-JE-1000H-EUUK-V2-0-2026-08-03,HTE159,needs_review,EU,en|fr|es|de|it|uk,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE159/EU; no complete four-renderer + native package evidence
C37,E1000-HTE159-Jackery-HomePower-1000-Plus-User-Manual-pdf,HTE159,JE-1000H,US,en|fr|es,MAIN@INTL,JE-1000H_US,recvp853V2kK9K,yes,no,no,0,0,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C38,E1500-HTE118-Jackery-Explorer-1500-Ultra,HTE118,needs_review,KR,ko,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE118/KR; no complete four-renderer + native package evidence
C39,E1500-HTE140-Jackery-Explorer-1500-Manual-do-Usua-rio-V1-0-2026-06-23,HTE140,JE-1500D,pt-BR,pt-BR,MAIN@INTL,JE-1500D_pt-BR,recviOy1QyZBJJ,yes,no,no,0,3,0,reconstruction:pure-deletion,current CI target statuses=SKIP; no complete four-renderer + native package evidence
C40,E240-HTE110-Jackery-240,HTE110,needs_review,JP,ja,outlier,needs_review,,no,no,no,0,0,0,reconstruction:outlier,live Document_key missing for HTE110/JP; structural outlier; no complete four-renderer + native package evidence
C41,HTP011-Jackery-Battery-Pack-3600-User-Manual-JBP-3000A-EUUK-V2-0-2026-08-04,HTP011,needs_review,EU,en|fr|es|de|it,BP@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTP011/EU; no complete four-renderer + native package evidence
C42,HTP015-Jackery-Battery-Pack-V2-0-2026-07-29,HTP015,needs_review,JP,ja,BP@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTP015/JP; no complete four-renderer + native package evidence
C43,HTP015-Jackery-Battery-Pack-1,HTP015,needs_review,US,en|fr|es,BP@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:overlay=T6,live Document_key missing for HTP015/US; no complete four-renderer + native package evidence
C44,E500-HTE132-Jackery-500-New,HTE132,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:overlay=T4,live Document_key missing for HTE132/JP; no complete four-renderer + native package evidence
C45,E500-HTE132-Jackery-Explorer-500-User-Manual-JE-500A-EU-UK-V2-0-2026-06-09,HTE132,needs_review,EU,en|fr|es|de|it|pt-BR,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE132/EU; no complete four-renderer + native package evidence
C46,E500-HTE132-Jackery-Explorer-500-User-Manual-PH-V2-0-2026-04-01,HTE132,needs_review,PH,en,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE132/PH; no complete four-renderer + native package evidence
C47,E5000-HTE119-Jackery-5000-Plus,HTE119,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE119/JP; no complete four-renderer + native package evidence
C48,HTP007-Jackery-Battery-Pack-5000-Plus,HTP007,needs_review,JP,ja,BP@JP,needs_review,,yes,no,no,0,0,0,reconstruction:overlay=T7,live Document_key missing for HTP007/JP; no complete four-renderer + native package evidence
C49,E300-HTE150-Jackery-300D,HTE150,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE150/JP; no complete four-renderer + native package evidence
C50,E1500-HTE140-Jackery-1500-New-V1-0-2026-07-10,HTE140,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE140/JP; no complete four-renderer + native package evidence
C51,E600-HTE133-Jackery-Explorer-600-User-Manual-AU-V2-0-2026-04-20,HTE133,needs_review,AU,en,MAIN@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE133/AU; no complete four-renderer + native package evidence
C52,HTP017-Jackery-Battery-Pack-2000-V2-0-2026-05-28,HTP017,JBP-2000B,JP,ja,BP@JP,JBP-2000B_JP,recvp853V2kywb,yes,no,no,0,0,0,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
C53,HTP017-Jackery-Battery-Pack-2000-User-Manual-JBP-2000B-EUUK-V2-0-2026-08-03,HTP017,needs_review,EU,en|fr|es|de|it|uk,BP@INTL,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTP017/EU; no complete four-renderer + native package evidence
C54,HTP017-Jackery-Battery-Pack-2000-User-Manual-V2-0-2026-04-27,HTP017,JBP-2000B,US,en|fr|es,BP@INTL,JBP-2000B_US,recvp853V23SP4,yes,yes,yes,11,9,1,reconstruction:pure-deletion; ci_check_targets:PASS; jbp2000b_us_local_validation_2026-08.md + jbp2000b_us_s6_reconciliation_2026-08.md,
C55,E1500-HTE140-Jackery-1500-New-V1-0-2026-07-10-No-225,HTE140,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE140/JP; no complete four-renderer + native package evidence
C56,E2000-HTE152-Jackery-2000-Plus-V2-JP,HTE152,needs_review,JP,ja,MAIN@JP,needs_review,,yes,no,no,0,0,0,reconstruction:pure-deletion,live Document_key missing for HTE152/JP; no complete four-renderer + native package evidence
C57,E1000-HTE153-Jackery-Explorer-1000-User-Manual-AU-V2,HTE153,JE-1000F,AU,en,MAIN@INTL,JE-1000F_AU,recvnUYT4KNkuV,yes,no,no,19,31,1,reconstruction:pure-deletion,current CI target statuses=SKIP; no complete four-renderer + native package evidence
C58,E1000-HTE153-Jackery-Explorer-1000-KR,HTE153,JE-1000F,KR,ko,MAIN@INTL,JE-1000F_KR,recvnZySykX01w,yes,no,no,19,31,1,reconstruction:pure-deletion,current CI target statuses=SKIP; no complete four-renderer + native package evidence
C59,E1000-HTE153-Explorer-1000-Manual-do-Usuario-BR,HTE153,JE-1000F,pt-BR,pt-BR,MAIN@INTL,JE-1000F_pt-BR,recvkenuskc8eF,yes,no,no,19,31,1,reconstruction:pure-deletion,no current config-derived check target; no complete four-renderer + native package evidence
