项目代码,Region,Is_Latest,Page,Section,Section_order,Row_key,Row_label_en,Line_order,Param_en,Value_en,Row_label_fr,Param_fr,Value_fr,page_title_fr,section_title_fr,Model,Section_original,Section_normalized,Record_category,Normalization_applied,Normalization_note,Source_line,Review_flags,Review_messages
HTE1522000A-JP-JAK,JP,TRUE,specifications,GENERAL INFO,1,cycle_life,Cycle Life,1,,"6000回 (90%DOD, 0.5C/0.5C, 25°C, 初期容量の70%以上を維持)",,,,,,JE-2000E,GENERAL INFO,GENERAL INFO,spec,NO,,76,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,GENERAL INFO,1,weight,Weight,1,,約18.4 kg,,,,,,JE-2000E,GENERAL INFO,GENERAL INFO,spec,NO,,77,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,INPUT PORTS,2,ac_input,AC Input,1,,"100V-120V~60Hz, 最大15A, 最大1500W",,,,,,JE-2000E,INPUT PORTS,INPUT PORTS,spec,NO,,78,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,INPUT PORTS,2,dc8020_ports,2 × DC8020 Ports,1,,"PV:16V-60V⎓12A, 2ポート合計最大21A, 最大800W",,,,,,JE-2000E,INPUT PORTS,INPUT PORTS,spec,NO,,79,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,INPUT PORTS,2,dc8020_ports,2 × DC8020 Ports,2,,"シガーソケット:11V-16V⎓最大8A, 2ポート合計最大8A",,,,,,JE-2000E,INPUT PORTS,INPUT PORTS,spec,NO,,80,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,INPUT PORTS,2,charging_time,Charging Time,1,,AC充電: 約118分,,,,,,JE-2000E,INPUT PORTS,INPUT PORTS,spec,NO,,81,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,INPUT PORTS,2,charging_time,Charging Time,2,,AC+DC充電: 約85分,,,,,,JE-2000E,INPUT PORTS,INPUT PORTS,spec,NO,,82,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,INPUT PORTS,2,charging_time,Charging Time,3,,DC充電: 約3.5時間,,,,,,JE-2000E,INPUT PORTS,INPUT PORTS,spec,NO,,83,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,INPUT PORTS,2,expansion_port,Expansion Battery Port,1,,"DC 36.8V-57.6V, 入出力最大75A",,,,,,JE-2000E,INPUT PORTS,INPUT PORTS,spec,NO,,84,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,ac_ports,AC Output,1,,"100V~60Hz, 最大24A, 定格2400W (-10°C~45°C)",,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,85,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,ac_ports,AC Output,2,,"100V~60Hz, 最大16A, 定格1600W (-20°C~-10°C)",,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,86,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,ac_total,AC Total Output,1,,"2400W, 瞬間最大4800W",,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,87,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,ac_bypass,AC Output in Bypass Mode,1,,最大12A（ピーク13.2A）,,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,88,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,usb_c,USB-C,1,,"5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A, 最大30W",,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,89,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,usb_c,USB-C,2,,"5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A, 最大100W",,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,90,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,usb_a,USB-A,1,,"5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A, 最大18W",,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,91,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,OUTPUT PORTS,3,cigarette_output,Car Port Output,1,,12V⎓最大10A,,,,,,JE-2000E,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,92,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,ENVIRONMENTAL,4,charging_temperature,Charging Temperature,1,,-20°C ~ 45°C,,,,,,JE-2000E,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,93,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,ENVIRONMENTAL,4,operating_temperature,Operating Temperature,1,,-20°C ~ 45°C,,,,,,JE-2000E,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,94,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,ENVIRONMENTAL,4,storage_temperature,Storage Temperature,1,,1年 0°C ~ 25°C,,,,,,JE-2000E,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,95,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,ENVIRONMENTAL,4,storage_temperature,Storage Temperature,2,,3ヶ月 0°C ~ 45°C,,,,,,JE-2000E,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,96,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,ENVIRONMENTAL,4,storage_temperature,Storage Temperature,3,,1ヶ月 -20°C ~ 45°C,,,,,,JE-2000E,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,97,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,ENVIRONMENTAL,4,humidity,Operating Humidity,1,,0~60% RH（結露なきこと）,,,,,,JE-2000E,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,98,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,ENVIRONMENTAL,4,pollution_level,Pollution Degree,1,,Ⅱ,,,,,,JE-2000E,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,99,,
HTE1522000A-JP-JAK,JP,TRUE,specifications,BATTERY,5,discharge_capacity,Discharge Capacity,1,,">1597Wh (@AC出力2400W, 25°C)",,,,,,JE-2000E,BATTERY,BATTERY,spec,NO,,100,,
HTE154-US,US,TRUE,specifications,GENERAL INFO,1,product_name,Product Name,1,,Jackery Explorer 2000,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,101,,
HTE154-US,US,TRUE,specifications,GENERAL INFO,1,model_no,Model No.,1,,JE-2000F,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,102,,
HTE154-US,US,TRUE,specifications,GENERAL INFO,1,capacity,Capacity,1,,2048 Wh (40Ah/51.2V DC),,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,103,,
HTE154-US,US,TRUE,specifications,GENERAL INFO,1,cell_chemistry,Cell Chemistry,1,,LiFePO4,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,104,,
HTE154-US,US,TRUE,specifications,GENERAL INFO,1,weight,Weight,1,,About 40.34 lbs/18.3 kg,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,105,,
HTE154-US,US,TRUE,specifications,GENERAL INFO,1,dimension,Dimension,1,,14.4 × 10.0 × 10.6 in / 36.5 × 25.5 × 26.9 cm,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,106,,
HTE154-US,US,TRUE,specifications,GENERAL INFO,1,cycle_life,Cycle Life,1,,6000 cycles to 70%+ capacity,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,107,,
HTE154-US,US,TRUE,specifications,INPUT PORTS,2,ac_input,1 × AC Input,1,Charge Mode,"100V-120V~60Hz, 15A Max",,,,,,JE-2000F,INPUT PORTS,INPUT PORTS,spec,NO,,108,,
HTE154-US,US,TRUE,specifications,INPUT PORTS,2,ac_input,1 × AC Input,2,Bypass Mode①,"100V-120V~60Hz, 12A Max",,,,,,JE-2000F,INPUT PORTS,INPUT PORTS,spec,NO,,109,,
HTE154-US,US,TRUE,specifications,INPUT PORTS,2,dc8020_ports,2 × DC8020 Ports,1,,"11V-16V⎓8A Max, Double to 8A Max",,,,,,JE-2000F,INPUT PORTS,INPUT PORTS,spec,NO,,110,,
HTE154-US,US,TRUE,specifications,INPUT PORTS,2,dc8020_ports,2 × DC8020 Ports,2,,"16V-60V⎓12A Max, Double to 21A / 400W Max",,,,,,JE-2000F,INPUT PORTS,INPUT PORTS,spec,NO,,111,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,ac_output,3 × AC,1,,"120V~ 60Hz, 18.3A Max, 2200W Rated (14°F to 113°F / -10°C to 45°C)",,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,112,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,ac_output,3 × AC,2,,"120V~ 60Hz, 13.3A, 1600W Rated (-4°F to 14°F / -20°C to -10°C)",,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,113,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,ac_total_output,AC Total Output②,1,,"2200W Rated, 4400W Surge peak",,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,114,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,ac_output_bypass,AC Output in Bypass Mode①,1,,"100V-120V~60Hz, 12A Max",,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,115,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,usb_c,2 × USB-C,1,,"30W Max, 5V⎓3A, 9V⎓3A, 12V⎓2.5A, 15V⎓2A, 20V⎓1.5A",,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,116,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,usb_c,2 × USB-C,2,,"100W Max, 5V⎓3A, 9V⎓3A, 12V⎓3A, 15V⎓3A, 20V⎓5A (14°F to 113°F / -10°C to 45°C)",,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,117,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,usb_c,2 × USB-C,3,,USB-C 100W output disabled (-4°F to 14°F / -20°C to -10°C),,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,118,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,usb_a,1 × USB-A,1,,"18W Max, 5-6V⎓3A, 6-9V⎓2A, 9-12V⎓1.5A",,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,119,,
HTE154-US,US,TRUE,specifications,OUTPUT PORTS,3,dc12_port,1 × DC 12V Port,1,,12V⎓10A Max,,,,,,JE-2000F,OUTPUT PORTS,OUTPUT PORTS,spec,NO,,120,,
HTE154-US,US,TRUE,specifications,ENVIRONMENTAL,4,charging_temperature,Charging Temperature,1,,-4°F to 113°F / -20°C to 45°C,,,,,,JE-2000F,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,121,,
HTE154-US,US,TRUE,specifications,ENVIRONMENTAL,4,discharging_temperature,Discharging Temperature,1,,-4°F to 113°F / -20°C to 45°C,,,,,,JE-2000F,ENVIRONMENTAL,ENVIRONMENTAL,spec,NO,,122,,
HTE154-JP,JP,TRUE,specifications,GENERAL INFO,1,product_name,Product Name,1,,Jackery ポータブル電源 2000 New,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,123,,
HTE154-JP,JP,TRUE,specifications,GENERAL INFO,1,model_no,Model No.,1,,JE-2000F,,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,124,,
HTE154-JP,JP,TRUE,specifications,GENERAL INFO,1,rated_capacity,Rated Capacity,1,,2048Wh (40Ah/51.2V DC),,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,125,,
HTE154-JP,JP,TRUE,specifications,GENERAL INFO,1,battery_type,Battery Type,1,,LiFePO4 (リン酸鉄リチウムイオン電池),,,,,,JE-2000F,GENERAL INFO,GENERAL INFO,spec,NO,,126,,
