key,value,unit,comment
lang_it_idml_compact_safety_list_leading,5.3,pt,Italian compact shared-page Safety list leading
lang_uk_idml_compact_safety_list_font_size,4.7,pt,Ukrainian compact shared-page Safety list font size
lang_jp_idml_compact_safety_list_font_size,6.0,pt,Japanese compact shared-page Safety list size -- CJK fitting row at the English value (the 7.00 measured from the hand-made master is not a style)
lang_jp_idml_compact_safety_list_leading,6.8,pt,Japanese compact shared-page Safety list leading -- CJK fitting row at the English value
lang_uk_idml_compact_safety_list_leading,5.1,pt,Ukrainian compact shared-page Safety list leading
idml_compact_safety_list_space_after,0.35,pt,Compact shared-page Safety list item gap
idml_compact_safety_list_horizontal_scale,0.96,ratio,Compact shared-page Safety list width correction
lang_fr_idml_compact_safety_list_horizontal_scale,0.94,ratio,French compact shared-page Safety list width correction
lang_es_idml_compact_safety_list_horizontal_scale,0.96,ratio,Spanish compact shared-page Safety list width correction
lang_de_idml_compact_safety_list_horizontal_scale,0.88,ratio,German compact Safety fit at the shared reference size
lang_it_idml_compact_safety_list_horizontal_scale,0.88,ratio,Italian compact Safety fit at the shared reference size
lang_uk_idml_compact_safety_list_horizontal_scale,0.85,ratio,Ukrainian compact Safety fit at the shared reference size
idml_table_marker_point_size,0.1,pt,IDML editable table carrier marker size and leading
idml_compact_symbols_table_frame_allowance,11.5,pt,Reserve the InDesign table-carrier marker inside the rounded shell so the final K05 row ends at the border instead of overrunning the footer
idml_compact_symbols_signal_frame_allowance,11.5,pt,Reserve the InDesign table-carrier marker inside the compact signal-table shell
idml_compact_symbols_signal_cell_vertical_inset,1.5,pt,Keep localized signal badges visible inside the tightened ordinary rows
idml_compact_symbols_signal_row_height,21.317,pt,English ordinary signal rows share the carrier-marker allowance while preserving the measured outer height
idml_compact_symbols_signal_last_row_height,25.15,pt,Keep the English TIP row at its full content height
lang_fr_idml_compact_symbols_signal_header_height,13.5,pt,French compact shared-page signal-table header height
lang_fr_idml_compact_symbols_signal_row_height,19.167,pt,French ordinary signal rows share the carrier-marker allowance
lang_fr_idml_compact_symbols_signal_last_row_height,23.0,pt,Keep the French CONSEIL row at its full content height
lang_es_idml_compact_symbols_signal_header_height,13.5,pt,Spanish compact shared-page signal-table header height
lang_es_idml_compact_symbols_signal_row_height,19.417,pt,Spanish ordinary signal rows share the carrier-marker allowance
lang_es_idml_compact_symbols_signal_last_row_height,23.25,pt,Keep the Spanish CONSEJOS row at its full content height
lang_fr_idml_compact_symbols_signal_gap_after,5.0,pt,French compact gap between the fixed signal and icon tables
lang_es_idml_compact_symbols_signal_gap_after,5.0,pt,Spanish compact gap between the fixed signal and icon tables
idml_compact_symbols_icon_header_height,13.0,pt,English compact shared-page icon-table header height
idml_compact_symbols_icon_width,23.0,pt,Compact symbol art width sized to remain visible inside the tightened ordinary rows
idml_compact_symbols_icon_height,23.0,pt,Compact symbol art height sized to remain visible inside the tightened ordinary rows
idml_compact_symbols_icon_row_height,24.7,pt,English compact left icon rows share the carrier-marker allowance
idml_compact_symbols_icon_right_row_height,24.125,pt,English compact right icon rows share the carrier-marker allowance
idml_compact_symbols_icon_last_row_height,38.0,pt,Keep the English final left icon row at its full content height
idml_compact_symbols_icon_long_last_row_height,65.0,pt,Keep the English recycling row at its full content height
lang_fr_idml_compact_symbols_icon_header_height,13.0,pt,French compact icon-table header height measured from the BP reference
lang_fr_idml_compact_symbols_icon_row_height,24.7,pt,French compact left icon rows share the carrier-marker allowance
lang_fr_idml_compact_symbols_icon_right_row_height,24.125,pt,French compact right icon rows share the carrier-marker allowance
lang_fr_idml_compact_symbols_icon_last_row_height,37.5,pt,Keep the French final left icon row at its full content height
lang_fr_idml_compact_symbols_icon_long_last_row_height,64.5,pt,Keep the French recycling row at its full content height
lang_es_idml_compact_symbols_icon_header_height,13.0,pt,Spanish compact icon-table header height measured from the BP reference
lang_es_idml_compact_symbols_icon_row_height,25.1,pt,Spanish compact left icon rows share the carrier-marker allowance
lang_es_idml_compact_symbols_icon_right_row_height,24.5,pt,Spanish compact right icon rows share the carrier-marker allowance
lang_es_idml_compact_symbols_icon_last_row_height,38.0,pt,Keep the Spanish final left icon row at its full content height
lang_es_idml_compact_symbols_icon_long_last_row_height,65.5,pt,Keep the Spanish recycling row at its full content height
lang_fr_idml_symbols_signal_label_font_size,7.4,pt,French BP signal labels retain the reference visual weight
lang_fr_idml_symbols_signal_label_min_font_size,7.0,pt,French BP signal-label minimum before horizontal fitting
lang_es_idml_symbols_signal_label_font_size,7.7,pt,Spanish BP signal labels retain the reference visual weight
lang_es_idml_symbols_signal_label_min_font_size,7.2,pt,Spanish BP signal-label minimum before horizontal fitting
lang_de_idml_symbols_signal_label_width_ratio,0.70,ratio,German native-shaping reserve inside the shared fixed signal badge
lang_de_idml_symbols_signal_disable_hyphenation,1,int,Keep German signal words atomic inside the shared fixed signal badge
lang_it_idml_symbols_signal_label_width_ratio,0.85,ratio,Italian SUGGERIMENTO reserve inside the shared fixed signal badge
lang_it_idml_symbols_signal_disable_hyphenation,1,int,Keep Italian signal words atomic inside the shared fixed signal badge
lang_uk_idml_symbols_signal_label_width_ratio,0.88,ratio,Ukrainian fallback-face reserve inside the shared fixed signal badge
lang_uk_idml_symbols_signal_disable_hyphenation,1,int,Keep Ukrainian signal words atomic inside the shared fixed signal badge
idml_symbols_body_fit_all_languages,1,int,Fit long English symbol copy inside fixed rows without automatic row growth
idml_compact_symbols_icon_left_col_width,39.685,pt,Compact shared-page left icon column width
idml_compact_symbols_icon_right_col_width,35.5,pt,Compact shared-page right icon column width
idml_compact_lcd_hero_max_height,55.0,pt,Compact shared-page LCD hero maximum height
idml_compact_lcd_operations_split,181.0,pt,Compact shared-page LCD and Operations vertical split
idml_compact_shared_page_gap,4.0,pt,Gap between stories in a shared physical-page composition
idml_compact_operations_frame_bottom_extra,36.0,pt,Operations shared-page native import allowance for localized image-caption panels
idml_operation_overlay_disable_hyphenation,1,int,Prevent localized operation callouts from breaking words across lines
idml_semantic_image_full_measure_ratio,1.0,ratio,Full-measure semantic prose image width ratio
idml_semantic_image_reference_measure_ratio,1.0,ratio,Reference-proven semantic prose image width ratio without locale compaction
idml_semantic_image_wide_diagram_ratio,0.78,ratio,Wide semantic prose diagram width ratio
idml_semantic_image_compact_diagram_ratio,0.62,ratio,Compact semantic prose diagram width ratio
idml_semantic_image_charging_diagram_ratio,0.58,ratio,Charging semantic prose diagram width ratio
idml_trouble_compact_outer_radius,4.8,pt,Compact troubleshooting rounded-panel radius
idml_lcd_label_description_vertical_padding,2.8,pt,Compact two-column LCD cell top and bottom padding
idml_lcd_label_description_min_row_height,13.5,pt,Compact two-column LCD minimum row height
idml_lcd_label_description_row_safety,1.0,pt,Compact two-column LCD native-import row safety
lang_de_idml_lcd_label_description_row_safety,2.0,pt,German two-line LCD label native-import safety
lang_de_idml_lcd_first_label_font_size,5.4,pt,German long LCD label fit without word clipping
lang_de_idml_lcd_first_label_font_leading,6.5,pt,German compact LCD label leading
idml_lcd_label_description_glyph_width_ratio,0.52,ratio,Compact two-column LCD portable glyph-width estimate
lang_fr_idml_semantic_image_full_measure_ratio,0.80,ratio,French full-measure diagram ratio preserving localized notice capacity
idml_toc_dynamic_leader_start,1,int,Move compact TOC leaders after the rendered source title
idml_toc_leader_text_gap,8.0,pt,Compact TOC gap between title and leader
idml_toc_title_top,27.7,pt,Compact battery-pack TOC title top measured from the reference
idml_toc_first_segment_top,57.34,pt,Compact battery-pack TOC first language-block top
idml_toc_first_segment_advance,119.5,pt,Compact battery-pack EN-to-FR language-block advance
idml_toc_following_segment_advance,122.5,pt,Compact battery-pack FR-to-ES language-block advance
idml_measured_overview_page_extra_height,48.0,pt,Invisible measured-LaTeX FCC inbox overview final-frame allowance
idml_compact_preface_margin_top,32.986,pt,Compact battery-pack preface top measured from the reference
idml_compact_fcc_inbox_overview_fcc_height,130.0,pt,Shared FCC inbox overview FCC panel height
idml_compact_fcc_font_size,5.2,pt,Compact FCC body font size
idml_compact_fcc_font_leading,5.7,pt,Compact FCC body leading
idml_compact_fcc_horizontal_scale,92.0,ratio,Compact FCC body width fit
idml_compact_inbox_title_y,174.0,pt,Shared FCC inbox overview inbox-title top
idml_inbox_compact_card_y,204.0,pt,Shared FCC inbox overview inbox-card top
idml_inbox_compact_card_height,108.0,pt,Shared FCC inbox overview inbox-card height
idml_inbox_compact_image_1_width,66.0,pt,Shared FCC inbox overview first inbox image width
idml_inbox_compact_image_2_width,58.0,pt,Shared FCC inbox overview second inbox image width
idml_inbox_compact_image_3_width,40.0,pt,Shared FCC inbox overview third inbox image width
idml_inbox_compact_card_1_image_space_after,6.0,pt,Shared FCC inbox overview first card image gap
idml_inbox_compact_card_2_image_space_after,5.0,pt,Shared FCC inbox overview second card image gap
idml_inbox_compact_card_3_image_space_after,7.0,pt,Shared FCC inbox overview third card image gap
idml_inbox_compact_card_1_content_y_offset,-15.0,pt,Compact first-card content top correction
idml_inbox_compact_card_2_content_y_offset,-15.0,pt,Compact second-card content top correction
idml_inbox_compact_card_3_content_y_offset,-15.0,pt,Compact third-card content top correction
idml_inbox_compact_content_height,82.0,pt,Compact inbox content frame height
idml_inbox_compact_badge_y_offset,8.0,pt,Compact inbox badge offset from card top
idml_inbox_compact_stroke_color,Color/HB Border K10,none,Compact inbox card border swatch
idml_inbox_compact_stroke_weight,0.75,pt,Compact inbox card border weight
lang_jp_idml_inbox_compact_card_height,145.0,pt,Japanese BP inbox card height measured from the shipped reference
lang_jp_idml_inbox_compact_content_height,119.0,pt,Japanese BP inbox card content height measured from the shipped reference
lang_jp_idml_inbox_compact_tip_y,365.0,pt,Japanese BP inbox notice top measured from the shipped reference
lang_jp_idml_inbox_compact_tip_height,44.0,pt,Japanese BP inbox notice height measured from the shipped reference
lang_jp_idml_inbox_compact_tip_label_width,36.0,pt,Japanese BP inbox notice label width
idml_compact_overview_top,319.0,pt,Shared FCC inbox overview product-overview title top
idml_compact_overview_height,142.0,pt,Shared FCC inbox overview product-overview art height
idml_overview_callout_label_font_size,6.0,pt,BP overview callout label size measured from the reference
idml_overview_callout_label_font_leading,6.8,pt,BP overview callout label leading measured from the reference
idml_overview_callout_label_bold,0,int,Use the reference regular weight for BP overview callouts
idml_compact_connections_frame_bottom_extra,8.0,pt,Connections shared-page native import allowance
idml_connections_stacking_guide_upper_bottom,250.0,pt,Shared stacking-guide upper panel bottom
idml_connections_stacking_guide_vertical_gap,4.0,pt,Shared stacking-guide upper-to-columns gap
idml_connections_stacking_guide_column_gutter,10.0,pt,Shared stacking-guide lower-column gutter
idml_bp_connection_caution_body_font_size,5.8,pt,Compact Connections caution body font size
idml_bp_connection_caution_body_font_leading,6.6,pt,Compact Connections caution body leading
idml_bp_connection_caution_pad_tb,5.0,pt,Compact Connections caution vertical inset
idml_bp_connection_caution_space_after,9.0,pt,Compact Connections gap after caution
idml_bp_connection_notes_body_font_size,5.8,pt,Compact Connections notes body font size
idml_bp_connection_notes_body_font_leading,7.0,pt,Compact Connections notes body leading
idml_bp_connection_notes_pad_tb,6.5,pt,Compact Connections notes vertical inset
idml_compact_connection_trouble_split,235.0,pt,Shared connection-tail troubleshooting vertical split
idml_compact_trouble_frame_bottom_extra,18.0,pt,Troubleshooting shared-page native import allowance
idml_compact_charging_storage_frame_bottom_extra,18.0,pt,Charging and Storage shared-page native import allowance
idml_compact_charging_frame_bottom_extra,36.0,pt,Standalone Charging page native import allowance
idml_compact_storage_spec_spec_top,132.0,pt,Specifications story top after the shared JE-style Storage story
idml_compact_storage_panel_spec_top,160.0,pt,Specifications story top after the shared rounded Storage panel variant
idml_compact_storage_panel_title_body_gap,12.0,pt,Shared rounded Storage title-to-body-panel gap
idml_compact_storage_panel_body_bottom_gap,10.0,pt,Shared rounded Storage body-panel-to-Specifications gap
idml_compact_storage_panel_body_inset,8.0,pt,Shared rounded Storage body-panel inset
idml_regulatory_panel_top,366.5,pt,Shared bottom-card Regulatory composition top
idml_regulatory_title_width,78.0,pt,Shared bottom-card Regulatory title capsule width
idml_regulatory_title_height,13.0,pt,Shared bottom-card Regulatory title capsule height
idml_regulatory_title_font_size,7.5,pt,Shared bottom-card Regulatory title font size
idml_compact_spec_table_cell_inset,2.0,pt,Compact specification table vertical cell inset
idml_compact_spec_table_row_height,11.0,pt,Compact specification table minimum row height measured from the battery-pack reference
idml_compact_spec_table_multiline_min_height,13.0,pt,Compact specification multiline minimum row height
idml_compact_spec_table_1_space_before,5.7,pt,Compact first specification heading-to-table rhythm
idml_compact_spec_table_2_space_before,7.9,pt,Compact second specification heading-to-table rhythm
idml_compact_spec_table_3_space_before,8.9,pt,Compact third specification heading-to-table rhythm
idml_warranty_variant_multiline_lead_section_1_before_adjust,-7.5,pt,Multiline-lead first-section rhythm adjustment
idml_warranty_variant_multiline_lead_body_horizontal_scale,97,int,Multiline-lead warranty body horizontal scale measured from the BP reference
idml_warranty_variant_multiline_lead_body_estimate_horizontal_scale,90,int,Preserve governed multiline-lead panel geometry while widening rendered copy
idml_warranty_variant_multiline_lead_body_estimate_horizontal_scale_6,80,int,Multiline-lead interpretation wrap-estimate scale
idml_warranty_variant_multiline_lead_body_font_leading,7.0,pt,Multiline-lead warranty body leading measured from the BP reference
idml_warranty_variant_multiline_lead_disable_hyphenation,1,int,Disable warranty word breaks for BP reference parity
idml_warranty_variant_multiline_lead_strip_year_subtitle_leading_dash,1,int,Remove source separator from the displayed year subtitle
idml_warranty_variant_multiline_lead_body_top_adjust,3.2,pt,Move ordinary multiline-lead warranty copy down inside fixed shells
idml_warranty_variant_multiline_lead_body_top_adjust_2,0.0,pt,Keep the warranty-period copy on its approved baseline
idml_warranty_variant_multiline_lead_body_top_adjust_6,0.0,pt,Let final-section vertical centering own its baseline
idml_warranty_variant_multiline_lead_final_body_center,1,int,Vertically center one-line interpretation copy
lang_de_idml_warranty_variant_multiline_lead_body_horizontal_scale,85,int,German BP warranty body width correction
lang_de_idml_warranty_variant_multiline_lead_body_estimate_horizontal_scale,100,int,German BP warranty native line-count estimate
lang_de_idml_warranty_variant_multiline_lead_body_estimate_horizontal_scale_4,85,int,German original-buyer panel line-count estimate
lang_de_idml_warranty_variant_multiline_lead_body_estimate_horizontal_scale_5,85,int,German exclusions panel line-count estimate
lang_de_idml_warranty_variant_multiline_lead_body_font_leading,6.2,pt,German BP warranty body leading
lang_de_idml_warranty_variant_multiline_lead_panel_height_adjust_3,0.0,pt,German replacement panel native line-height allowance
lang_it_idml_warranty_variant_bp_default_body_horizontal_scale,86,int,Italian BP warranty body width correction
lang_it_idml_warranty_variant_bp_default_body_estimate_horizontal_scale,90,int,Italian BP warranty native line-count estimate
lang_it_idml_warranty_variant_bp_default_body_estimate_horizontal_scale_2,75,int,Italian warranty-period panel line-count estimate
lang_it_idml_warranty_variant_bp_default_panel_height_adjust_2,-2.5,pt,Italian warranty-period panel reference-height correction with native table allowance
lang_it_idml_warranty_variant_bp_default_body_estimate_horizontal_scale_4,86,int,Italian original-buyer panel line-count estimate
lang_it_idml_warranty_variant_bp_default_body_font_leading,6.2,pt,Italian BP warranty body leading
lang_it_idml_warranty_note_horizontal_scale,80,int,Italian BP warranty legal-note width correction
lang_it_comp_warranty_page_extra_height,32,pt,Italian BP warranty host-frame import allowance
lang_uk_idml_warranty_variant_multiline_lead_body_horizontal_scale,82,int,Ukrainian BP warranty body width correction
lang_uk_idml_warranty_variant_multiline_lead_body_estimate_horizontal_scale,86,int,Ukrainian BP warranty native line-count estimate
lang_uk_idml_warranty_variant_multiline_lead_body_font_leading,5.8,pt,Ukrainian BP warranty body leading
lang_uk_idml_warranty_title_horizontal_scale,70,int,Ukrainian BP warranty title width correction
lang_uk_idml_warranty_title_estimate_horizontal_scale,105,int,Ukrainian warranty title-plate width estimate
lang_uk_idml_warranty_note_horizontal_scale,80,int,Ukrainian BP warranty legal-note width correction
lang_uk_idml_warranty_lead_horizontal_scale,84,int,Ukrainian BP warranty lead width correction
lang_uk_idml_warranty_lead_height,36,pt,Ukrainian BP warranty lead height
lang_uk_comp_warranty_page_extra_height,48,pt,Ukrainian BP warranty host-frame import allowance
lang_jp_idml_warranty_lead_height,40,pt,"Japanese BP warranty lead height -- CANDIDATE-STAGE VALUE. The family (en 30.04 / fr 22.01 / es 26.39) is measured from the approved PDF; JP has no approved reference yet, so this one is not. Its three-line introduction is real -- the copy wraps to 3 lines and the component's own natural height for that is 34.60 pt -- but the 40 carries 5.40 pt beyond it with no content reason. Re-measure when JP gets an approved reference."
lang_jp_idml_warranty_variant_bp_default_body_top_adjust,0,pt,Japanese stacked-card body baseline without the Latin optical inset
idml_warranty_variant_multiline_lead_panel_height_adjust_1,3.0,pt,Multiline-lead first warranty-panel height adjustment
idml_warranty_variant_multiline_lead_section_2_before_adjust,-1.5,pt,Multiline-lead period-section rhythm adjustment
idml_warranty_variant_multiline_lead_panel_height_adjust_2,2.0,pt,Multiline-lead period-panel height adjustment
idml_warranty_variant_multiline_lead_section_3_before_adjust,-3.5,pt,Multiline-lead repair-section rhythm adjustment
idml_warranty_variant_multiline_lead_panel_height_adjust_3,-5.5,pt,Multiline-lead repair-panel height adjustment
idml_warranty_variant_multiline_lead_section_4_before_adjust,-2.0,pt,Multiline-lead buyer-section rhythm adjustment
idml_warranty_variant_multiline_lead_panel_height_adjust_4,0.5,pt,Multiline-lead buyer-panel height adjustment
idml_warranty_variant_multiline_lead_section_5_before_adjust,-2.0,pt,Multiline-lead exclusions-section rhythm adjustment
idml_warranty_variant_multiline_lead_panel_height_adjust_5,8.0,pt,Multiline-lead exclusions-panel height adjustment
idml_warranty_variant_multiline_lead_section_6_before_adjust,-0.5,pt,Multiline-lead interpretation-section rhythm adjustment
idml_warranty_variant_multiline_lead_panel_height_adjust_6,1.5,pt,Multiline-lead interpretation-panel height adjustment
lang_en_idml_warranty_variant_bp_default_panel_height_adjust_5,-5.5,pt,BP English exclusions-panel height correction (moved off the shared base token)
lang_es_idml_warranty_variant_bp_default_panel_height_adjust_5,8.0,pt,BP Spanish exclusions-panel height correction (moved off the shared base token)
lang_en_idml_warranty_variant_bp_default_panel_height_adjust_6,6.0,pt,BP English interpretation-panel height correction (moved off the shared base token)
lang_en_idml_warranty_variant_bp_default_body_horizontal_scale,100,int,BP English warranty body width measured from the reference
lang_es_idml_warranty_variant_bp_default_body_horizontal_scale,100,int,BP Spanish warranty body width measured from the reference
lang_de_type_spec_label_font_size,5.6,pt,German compact specification label fit
lang_de_type_spec_label_font_leading,6.0,pt,German compact specification label leading
lang_it_type_spec_label_font_size,5.7,pt,Italian compact specification label fit
lang_it_type_spec_label_font_leading,6.0,pt,Italian compact specification label leading
lang_en_idml_compact_spec_table_left_ratio,0.475,ratio,BP compact specification label column ratio
lang_fr_idml_compact_spec_table_left_ratio,0.475,ratio,BP compact specification label column ratio
lang_es_idml_compact_spec_table_left_ratio,0.475,ratio,BP compact specification label column ratio
lang_de_idml_compact_spec_table_left_ratio,0.475,ratio,BP compact specification label column ratio
lang_it_idml_compact_spec_table_left_ratio,0.475,ratio,BP compact specification label column ratio
lang_uk_idml_compact_spec_table_left_ratio,0.475,ratio,BP compact specification label column ratio
lang_en_idml_warranty_variant_bp_default_body_estimate_horizontal_scale,100,int,Preserve governed English warranty shell heights
lang_es_idml_warranty_variant_bp_default_body_estimate_horizontal_scale,98.6,ratio,Preserve governed Spanish warranty shell heights
lang_en_idml_warranty_variant_bp_default_lead_horizontal_scale,107,int,BP English lead line break measured from the reference
idml_warranty_variant_bp_default_body_font_leading,7.0,pt,BP warranty body leading measured from the reference
idml_warranty_variant_bp_default_disable_hyphenation,1,int,Disable warranty word breaks for BP reference parity
idml_warranty_variant_bp_default_strip_year_subtitle_leading_dash,1,int,Remove source separator from the displayed year subtitle
idml_warranty_variant_bp_default_body_top_adjust,3.2,pt,Move ordinary BP warranty copy down inside fixed shells
idml_warranty_variant_bp_default_body_top_adjust_2,0.0,pt,Keep the warranty-period copy on its approved baseline
idml_warranty_variant_bp_default_body_top_adjust_6,0.0,pt,Let final-section vertical centering own its baseline
idml_warranty_variant_bp_default_final_body_center,1,int,Vertically center one-line interpretation copy
lang_en_idml_warranty_variant_bp_default_section_4_before_adjust,1.0,pt,BP English repair-to-buyer rhythm correction (moved off the shared base token)
lang_en_idml_warranty_variant_bp_default_section_5_before_adjust,1.5,pt,BP English buyer-to-exclusions rhythm correction (moved off the shared base token)
lang_en_idml_warranty_variant_bp_default_section_6_before_adjust,0.5,pt,BP English exclusions-to-interpretation rhythm correction (moved off the shared base token)
lang_jp_idml_warranty_panel_height_adjust_7,5.5,pt,JP fitting row for the seventh warranty section (免責事項) -- _section_body budgets body lines at idml_warranty_body_font_leading 6.0 while bp_default renders them at 7.0; sections 1-6 absorb that deficit through the shared panel_height_adjust_1..6 rows and there is no _7. Compensation for a budget/render mismatch -- not a measurement; remove when _section_body budgets at the rendered leading
