copy_key,page_id,copy_type,Region,Model,Source_lang,Is_Latest,Version,text_en,text_zh,text_ja,text_fr,text_es,text_pt-BR,text_de,text_it,text_uk,text_ko,notes
spec.section.output_ports,specifications,section_title,ALL,ALL,en,TRUE,V1.0,OUTPUT PORTS,,,PORTS DE SORTIE,PUERTOS DE SALIDA,,AUSGANGSANSCHLÜSSE,PORTE IN USCITA,ВИХІДНІ ПОРТИ,,migrated from 03_内容源_多语言标题
symbols.header_meaning,symbols,table_header,ALL,ALL,en,TRUE,V1.0,Meaning,,,Signification,Significados,,Bedeutung,Significato,Значення,,
symbols.header_symbol,symbols,table_header,ALL,ALL,en,TRUE,V1.0,Symbol,,,Symbole,Símbolo,,Symbol,Simbolo,Символ,,
symbols.page_title,symbols,page_title,ALL,ALL,en,TRUE,V1.0,MEANING OF SYMBOLS,,,SIGNIFICATION DES SYMBOLES,SIGNIFICADO DE LOS SÍMBOLOS,,BEDEUTUNG DER SYMBOLE,SIGNIFICATO DEI SIMBOLI,ЗНАЧЕННЯ СИМВОЛІВ,,
symbols.signal.caution.label,symbols,signal_label,ALL,ALL,en,TRUE,V1.0,CAUTION,,,ATTENTION,PRECAUCIÓN,,VORSICHT,ATTENZIONE,УВАГА,,migrated from symbols_blocks signal_row
symbols.signal.caution.meaning,symbols,signal_meaning,ALL,ALL,en,TRUE,V1.0,Hazardous practices that may result in personal injury and/or property damage.,,,Pratiques dangereuses pouvant entraîner des blessures corporelles et/ou des dommages matériels.,Prácticas peligrosas que pueden resultar en lesiones personales y/o daños a la propiedad.,,"Gefährliche Handlungen, die zu Personenschäden und/oder Sachschäden führen können.",Pratiche pericolose che possono causare lesioni personali e/o danni materiali.,"Небезпечні дії, які можуть призвести до травмування та/або пошкодження майна.",,migrated from symbols_blocks signal_row
symbols.signal.danger.label,symbols,signal_label,ALL,ALL,en,TRUE,V1.0,DANGER,,,,,,,,,,migrated from symbols_blocks signal_row
symbols.signal.note.label,symbols,signal_label,ALL,ALL,en,TRUE,V1.0,NOTE,,,REMARQUE,NOTA,,HINWEIS,NOTA,ПРИМІТКА,,migrated from symbols_blocks signal_row
symbols.signal.note.meaning,symbols,signal_meaning,ALL,ALL,en,TRUE,V1.0,"Hazardous practices that may result in equipment damage, data loss, performance deterioration, or unanticipated results.",,,"Pratiques dangereuses pouvant entraîner des dommages à l'équipement, une perte de données, une détérioration des performances ou des résultats inattendus.","Prácticas peligrosas que pueden resultar en daño al equipo, pérdida de datos, deterioro del rendimiento o resultados inesperados.",,"Gefährliche Handlungen, die zu Geräteschäden, Datenverlust, Leistungsverschlechterung oder unvorhergesehenen Ergebnissen führen können.","Pratiche pericolose che possono causare danni all'apparecchiatura, perdita di dati, deterioramento delle prestazioni o risultati imprevisti.","Небезпечні дії, які можуть призвести до пошкодження обладнання, втрати даних, погіршення продуктивності або непередбачуваних результатів.",,migrated from symbols_blocks signal_row
symbols.signal.tips.label,symbols,signal_label,ALL,ALL,en,TRUE,V1.0,TIP,,,CONSEILS,CONSEJOS,,TIPP,SUGGERIMENTO,ПОРАДА,,migrated from symbols_blocks signal_row
symbols.signal.tips.meaning,symbols,signal_meaning,ALL,ALL,en,TRUE,V1.0,Supplements the important information or operation tips in the text.,,,Complémente les informations importantes ou les conseils d'utilisation dans le texte.,Complementa la información importante o consejos de operación en el texto.,,Ergänzt wichtige Informationen oder Bedienungshinweise im Text.,Integra le informazioni importanti o i consigli operativi presenti nel testo.,Доповнює важливу інформацію або поради щодо експлуатації в тексті.,,migrated from symbols_blocks signal_row
symbols.signal.warning.label,symbols,signal_label,ALL,ALL,en,TRUE,V1.0,WARNING,,,AVERTISSEMENT,ADVERTENCIA,,WARNUNG,AVVERTENZA,AVVERTENZA,,migrated from symbols_blocks signal_row
symbols.signal.warning.meaning,symbols,signal_meaning,ALL,ALL,en,TRUE,V1.0,"Hazardous practices that may result in severe injury, death, and/or property damage.",,,"Pratiques dangereuses pouvant entraîner des blessures graves, la mort et/ou des dommages matériels.","Prácticas peligrosas que pueden resultar en lesiones graves, muerte y/o daños a la propiedad.",,"Gefährliche Handlungen, die zu schweren Verletzungen, Todesfällen und/oder Sachschäden führen können.","Pratiche pericolose che possono causare gravi lesioni, morte e/o danni materiali.","Небезпечні дії, які можуть призвести до серйозних травм, смерті та/або пошкодження майна",,migrated from symbols_blocks signal_row
