file,line,symbol_or_context,text,copy_kind,recommended_owner,priority,reason,page_or_surface,content_role,source_lang,source_key,suggested_destination,suggested_identifier,rst_template_option,duplicate_count,operator_decision,operator_notes
tools/word_bundle_html_rewrite.py,20,_ALERT_LABELS,REMARQUE,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.remarque,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,21,_ALERT_LABELS,CONSEIL,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.conseil,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,22,_ALERT_LABELS,CONSEILS,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.conseils,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,23,_ALERT_LABELS,ADVERTENCIA,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.advertencia,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,24,_ALERT_LABELS,PELIGRO,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.peligro,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,25,_ALERT_LABELS,PRECAUCIÓN,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.precauci_n,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,26,_ALERT_LABELS,PRECAUCION,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.precaucion,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,27,_ALERT_LABELS,NOTA,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.nota,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,28,_ALERT_LABELS,CONSEJO,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.consejo,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,29,_ALERT_LABELS,CONSEJOS,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.consejos,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,30,_ALERT_LABELS,WARNUNG,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.warnung,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,31,_ALERT_LABELS,VORSICHT,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.vorsicht,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,32,_ALERT_LABELS,HINWEIS,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.hinweis,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,33,_ALERT_LABELS,TIPP,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.tipp,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,34,_ALERT_LABELS,AVVERTENZA,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.avvertenza,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,35,_ALERT_LABELS,ATTENZIONE,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.attenzione,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,36,_ALERT_LABELS,SUGGERIMENTO,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.suggerimento,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,37,_ALERT_LABELS,ПОПЕРЕДЖЕННЯ,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,38,_ALERT_LABELS,УВАГА,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,39,_ALERT_LABELS,ПРИМІТКА,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,40,_ALERT_LABELS,ПОРАДИ,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,41,_ALERT_LABELS,警告,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,42,_ALERT_LABELS,注意,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,43,_ALERT_LABELS,ご注意,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,44,_ALERT_LABELS,提示,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,45,_ALERT_LABELS,说明,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,46,_ALERT_LABELS,備考,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,47,_ALERT_LABELS,備註,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,48,_ALERT_LABELS,备注,manual_output,localized_copy,P0,manual alert label used by HTML/Word rewrite,word_html_rewrite,alert_label,,alert_label,Localized_Copy.csv,alert_labels.copy,no: shared rewrite detection term,1,,
tools/word_bundle_html_rewrite.py,61,_SAFETY_SUBLIST_RULES,Do not charge the battery in extremely hot or cold environments,manual_output,phase2_blocks,P0,manual safety text rule stored in rewrite code,word_html_rewrite,safety_snippet,,safety_snippet,safety/business blocks table,safety_blocks.safety_snippet,maybe: RST if this is pure template prose,1,,
tools/word_bundle_html_rewrite.py,63,_SAFETY_SUBLIST_RULES,Charging temperature:,manual_output,phase2_blocks,P0,manual safety text rule stored in rewrite code,word_html_rewrite,safety_snippet,,safety_snippet,safety/business blocks table,safety_blocks.safety_snippet,maybe: RST if this is pure template prose,1,,
tools/word_bundle_html_rewrite.py,64,_SAFETY_SUBLIST_RULES,Discharging temperature:,manual_output,phase2_blocks,P0,manual safety text rule stored in rewrite code,word_html_rewrite,safety_snippet,,safety_snippet,safety/business blocks table,safety_blocks.safety_snippet,maybe: RST if this is pure template prose,1,,
tools/word_bundle_html_rewrite.py,68,_SAFETY_SUBLIST_RULES,To ensure proper air circulation,manual_output,phase2_blocks,P0,manual safety text rule stored in rewrite code,word_html_rewrite,safety_snippet,,safety_snippet,safety/business blocks table,safety_blocks.safety_snippet,maybe: RST if this is pure template prose,1,,
tools/word_bundle_html_rewrite.py,70,_SAFETY_SUBLIST_RULES,Charging in damp or poorly ventilated spaces,manual_output,phase2_blocks,P0,manual safety text rule stored in rewrite code,word_html_rewrite,safety_snippet,,safety_snippet,safety/business blocks table,safety_blocks.safety_snippet,maybe: RST if this is pure template prose,1,,
tools/word_bundle_html_rewrite.py,71,_SAFETY_SUBLIST_RULES,Water can cause short circuits,manual_output,phase2_blocks,P0,manual safety text rule stored in rewrite code,word_html_rewrite,safety_snippet,,safety_snippet,safety/business blocks table,safety_blocks.safety_snippet,maybe: RST if this is pure template prose,1,,
tools/word_bundle_html_rewrite.py,354,image,{label} banner placeholder.,manual_output,localized_copy,P0,generated alt text used by HTML/Word rewrite,word_html_rewrite,generated_alt_text,,generated_alt_text,Localized_Copy.csv,alert_banner.alt,yes: template alt is possible if static,1,,
tools/build_docs_index.py,44,lines,Available Manual Bundles,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/diff_report_render.py,261,overview_cards,tracked root,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/diff_report_render.py,265,overview_cards,field changes,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/diff_report_render.py,283,report_cards,File-level diff table with insertions and deletions.,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/diff_report_render.py,284,report_cards,Page-level rollup with fields_changed counts.,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/diff_report_render.py,285,report_cards,Structured field diff with source_row_key back-mapping.,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/process_docs/build_review_preview_pages.py,238,render_model_changes_html,Report overview,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/process_docs/build_review_preview_pages.py,239,render_model_changes_html,Field diff,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/process_docs/build_review_preview_pages.py,240,render_model_changes_html,Page diff,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/process_docs/build_review_preview_pages.py,241,render_model_changes_html,File diff,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/process_docs/build_review_preview_pages.py,242,render_model_changes_html,Raw summary,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/process_docs/build_review_preview_pages.py,306,render_model_changes_html,No review pages changed in the selected diff range.,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,1,,
tools/process_docs/build_review_preview_pages.py,348,render_family_changes_html,Not available,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,2,,
tools/process_docs/build_review_preview_pages.py,404,render_changes_home_html,Not available,report_ui,keep_in_code,P1,"report/catalog UI copy, not manual body copy",review_report,report_ui,,report_ui,keep in code,,no: not manual template content,2,,
