page_id,lang,copy_key,text,enabled,order
troubleshooting,it,code_header,Codice errore,1,30
troubleshooting,it,measures_header,Misure correttive,1,40
troubleshooting,ja,title,トラブルシューティング,1,10
troubleshooting,ja,intro,次のいずれかのエラーコードが表示された場合は、記載された対処方法に従って問題を解決してください。問題が解決しない場合は、Jackeryカスタマーサポートにお問い合わせください。,1,20
troubleshooting,ja,code_header,エラーコード,1,30
troubleshooting,ja,measures_header,対処方法,1,40
troubleshooting,pt-BR,title,SOLUÇÃO DE PROBLEMAS,1,10
troubleshooting,pt-BR,intro,"Se qualquer um dos seguintes códigos de falha aparecer, siga as ações corretivas listadas para resolver o problema. Se a falha persistir, entre em contato com o Suporte ao Cliente da Jackery.",1,20
troubleshooting,pt-BR,code_header,Código de erro,1,30
troubleshooting,pt-BR,measures_header,Medidas corretivas,1,40
troubleshooting,uk,title,УСУНЕННЯ НЕСПРАВНОСТЕЙ,1,10
troubleshooting,uk,intro,"Якщо з'являється будь-який із наведених нижче кодів помилки, виконайте вказані дії для усунення проблеми. Якщо несправність не зникає, зверніться до служби підтримки Jackery.",1,20
troubleshooting,uk,code_header,Код помилки,1,30
troubleshooting,uk,measures_header,Способи усунення,1,40
troubleshooting,zh,title,故障处理,1,10
troubleshooting,zh,intro,如果出现以下任一故障代码，请按照所列的处理方法进行处理。如故障仍然存在，请联系电小二客户支持。,1,20
troubleshooting,zh,code_header,故障代码,1,30
troubleshooting,zh,measures_header,处理方法,1,40
